Seasonally Adjusted CO2 (ppm),Carbon Dioxide Fit (ppm),Seasonally Adjusted CO2 Fit (ppm),Carbon Dioxide (ppm)
398.75,401.04,398.51,401.31
398.23,399.47,398.67,399.07
398.72,397.29,398.83,397.21
398.87,395.51,399,395.4
399.25,395.58,399.17,395.65
399.5,397.1,399.34,397.22
399.73,398.6,399.52,398.79
399.83,399.73,399.7,399.85
399.57,400.63,399.89,400.31
399.96,401.64,400.06,401.51
400.64,403.1,400.27,403.45
400.73,403.86,400.48,404.11
400.31,403.25,400.71,402.88
400.76,401.76,400.96,401.6
400.51,399.68,401.23,399
400.98,398.03,401.53,397.5
401.9,398.23,401.83,398.28
402.52,399.9,402.16,400.24
402.83,401.54,402.47,401.89
402.62,402.82,402.78,402.65
403.42,403.84,403.09,404.16
403.27,404.98,403.37,404.86
404.73,406.51,403.64,407.57
404.26,407.28,403.89,407.65
404.46,406.66,404.14,407
403.69,405.14,404.37,404.5
403.78,403.02,404.6,402.24
404.52,401.33,404.85,401.01
405.12,401.48,405.09,401.5
405.92,403.08,405.34,403.64
405.49,404.66,405.58,404.55
406.04,405.87,405.83,406.07
